,날짜,시가,고가,저가,종가,거래량,회사코드,시가총액,60beta,60개월평균수익률,티커,BPS,PER,PBR,EPS,DIV,DPS
197,2022-04-29,179500,180500,176500,178000,3763,049770,701179371200,0.6708887144133944,0.9939617391142885,049770,206995,9.61,0.84,18009,2.02,3500
198,2022-04-29,14200,14350,13700,14000,1173586,025860,695503802000,1.0595231701246215,1.0070586309384948,025860,9748,31.86,1.48,452,0.42,60
199,2022-04-29,55300,55400,54600,55000,14552,005180,689725929200,0.5900325997107213,0.9963241168356297,005180,63095,0.0,0.87,0,2.56,1400
200,2022-04-29,2225,2230,2200,2210,342706,034830,686924072000,0.720993165647774,0.994031871455458,034830,4475,3.63,0.49,611,4.51,100
201,2022-04-29,4860,4860,4735,4750,671557,000370,685302702900,1.337322766105508,0.9929703153356704,000370,12157,4.99,0.39,939,0.0,0
202,2022-04-29,55200,55700,54800,55300,44807,001820,670978314990,1.3142271865198876,1.0240344287602978,001820,19654,19.71,2.78,2770,0.92,500
203,2022-04-29,18500,18800,18350,18700,17074,192400,665012859500,1.0544316041708475,0.998741231813722,192400,28532,4.11,0.67,4660,3.66,700
204,2022-04-29,6940,7100,6940,6990,215900,037270,661124689200,2.123097691909258,1.0176961287443365,037270,2125,20.2,3.31,348,0.0,0
205,2022-04-29,7900,7980,7810,7860,12141,097230,654535848660,1.3093487537729664,0.9741659488321246,097230,5189,0.0,1.53,0,0.0,0
206,2022-04-29,2035,2035,1980,2000,539181,000400,654483671750,0.9243337653240873,0.9950107446809722,000400,3242,5.26,0.62,379,0.0,0
207,2022-04-29,17000,17050,16850,17050,14818,034310,645893215000,0.5711407507724777,0.9980226230025141,034310,20040,10.95,0.85,1548,2.21,375
208,2022-04-29,57700,57700,57100,57700,1165,001720,645150000000,0.46650224295952825,1.0024235348702901,001720,81242,2.58,0.71,22418,6.92,4000
209,2022-04-29,17050,17200,16700,16850,162111,017810,642331132700,1.20395976614252,1.0043327141709555,017810,11434,51.54,1.46,325,0.61,102
210,2022-04-29,28550,28850,28550,28600,9501,210980,634638690400,0.7644764304811413,1.000593358385861,210980,26427,4.83,1.08,5910,2.8,800
211,2022-04-29,114000,114500,113500,114000,2503,000640,625144201500,0.9452427662066794,0.9957717287772774,000640,154410,11.62,0.74,9768,1.32,1500
212,2022-04-29,33650,35100,33000,34650,625906,033240,620235000000,1.609018556859436,1.0124423928326391,033240,17751,26.66,1.92,1279,0.0,0
213,2022-04-29,24300,25050,24200,24450,256519,001530,599849324800,1.4387622086550862,1.0259911224896983,001530,29290,10.79,0.82,2234,0.83,200
214,2022-04-29,27950,27950,27150,27200,33198,001880,598469436500,1.411462439778163,1.0080130391952247,001880,41105,3.45,0.66,7911,2.75,750
215,2022-04-29,70500,70500,69500,70000,10519,170900,591251710000,0.9611156604633174,0.9951340503786337,170900,77762,45.75,0.89,1519,1.44,1000
