,52주베타,거래소코드
746,1.23,18880
747,1.39,9420
748,0.97,300720
749,0.13,2220
750,1.24,6390
751,1.03,3300
752,1.41,130660
753,0.93,51600
754,1.19,88350
755,0.77,370
756,1.15,9830
757,0.95,272210
758,0.98,12450
759,2.24,3530
760,1.47,195870
761,1.18,101530
762,0.75,143210
763,1.07,720
764,1.01,267270
765,1.25,86280
766,1.23,42670
767,1.63,64350
768,1.12,12330
769,1.60,4560
770,1.67,4310
771,1.74,322000
772,1.08,17800
773,1.09,307950
774,1.39,11210
775,0.76,267260
776,1.09,5380
777,1.21,4020
778,-0.16,329180
779,1.03,1500
780,0.67,11760
781,0.97,227840
782,0.41,1450
783,2.14,111110
784,0.96,2460
785,1.35,10660
786,1.11,850
787,0.95,16580
788,1.29,94280
789,1.14,298040
790,1.87,298050
791,1.54,298020
792,2.48,298000
793,1.17,540
794,3.21,3280
