,Unnamed: 0,Date,대형주CAPM,성장주CAPM,중소형주CAPM,가치주CAPM,대형주포트폴리오분산,성장주포트폴리오분산,중소형주포트폴리오분산,가치주포트폴리오분산,대형주샤프지수,성장주샤프지수,중소형주샤프지수,가치주샤프지수,코스피200수익률,최대수익률,최소분산,샤프모델최대,대형주안정,성장주안정,중소형주안정,가치주안정,대형주,성장주,중소형주,가치주,대형주최소분산,성장주최소분산,중소형주최소분산,가치주최소분산,월,년,동행지수증가,선행지수증가,동행지수,선행지수,샤프수익률 라벨링,코스피
90,90,2017-11-01,-1.8139340884688144,-2.1600152099727,-1.6394859386855396,-1.193010820733493,0.0004668570506591,0.0005833917992127,0.0003485787990783,0.0001332648463428,-0.9015380335914108,-0.9497682003206654,-0.9499028574634386,-1.1495271715232989,-2.494229097340883,-1.193010820733493,-1.193010820733493,-1.8139340884688144,1,0,0,0,0,0,0,1,0,0,0,1,11,2017,1.0,0.9990099009900992,2.0999999999999943,0.9000000000000057,0,2.0395237972971936
91,91,2017-12-01,-0.0742848735775943,-0.111198330371806,-0.0498904008770256,0.001910636404811,0.0004837470568219,0.0006074429073424,0.000363647111785,0.0001417023230839,-0.0999268257639893,-0.1041513040736163,-0.1024603409470169,-0.1206212364331623,-0.1568024596464212,0.001910636404811,0.001910636404811,-0.0742848735775943,1,0,0,0,0,0,0,1,0,0,0,1,12,2017,0.9960822722820764,0.9990089197224974,1.7000000000000028,0.7999999999999972,0,-2.596564076175556
92,92,2018-01-01,1.8307547664111576,2.174107915425308,1.706095050974033,1.3516955824190733,0.0004526207888747,0.0005786182056566,0.0003469126714333,0.0001316336702924,0.786741567849202,0.8385700078648209,0.8317180154294757,1.0413202071807872,2.660590010469921,2.174107915425308,1.3516955824190733,1.3516955824190733,0,0,0,1,0,1,0,0,0,0,0,1,1,2018,1.0,1.0,1.7000000000000028,0.7999999999999972,3,2.15631485580865
93,93,2018-02-01,-3.939234939713134,-5.052315333530134,-3.960839112856781,-3.053970719311346,0.0004513747019533,0.0005799720002234,0.000347724304416,0.0001322265657618,-1.9345762840294929,-2.1688681299127626,-2.2157143106441324,-2.804470610932489,-6.155138280640704,-3.053970719311346,-3.053970719311346,-3.939234939713134,1,0,0,0,0,0,0,1,0,0,0,1,2,2018,1.0019665683382497,1.0,1.9000000000000057,0.7999999999999972,0,-3.246144557359376
94,94,2018-03-01,0.4296386136951808,0.4880220217975881,0.4310739450584784,0.3865855040491641,0.0005108615815975,0.0006743722655405,0.0004077143734392,0.0001685243510823,0.1137578808595552,0.121493199090683,0.1280479874491223,0.1648978040540554,0.5593556223230767,0.4880220217975881,0.3865855040491641,0.3865855040491641,0,0,0,1,0,1,0,0,0,0,0,1,3,2018,1.0,1.0,1.9000000000000057,0.7999999999999972,3,0.511071003291752
95,95,2018-04-01,1.9387388567814905,2.322556670112269,1.9236499909037856,1.6442798838628232,0.0005063209451576,0.0006697769829582,0.0004049291477784,0.0001669466402039,0.7794838944098605,0.8260337479013526,0.8641284226529387,1.1295775537783317,2.8447919646546587,2.322556670112269,1.6442798838628232,1.6442798838628232,0,0,0,1,0,1,0,0,0,0,0,1,4,2018,1.0,0.9960317460317462,1.9000000000000057,0.4000000000000057,3,0.271448985946221
96,96,2018-05-01,-2.3250130264954563,-2.87415029829137,-2.388907727329898,-2.1134030294454145,0.000496934607946,0.0006623295132209,0.0004002413007216,0.0001656044145824,-1.1255025228201927,-1.188272852602136,-1.2860463123207997,-1.7852283893419607,-3.90653974533316,-2.1134030294454145,-2.1134030294454145,-2.3250130264954563,1,0,0,0,0,0,0,1,0,0,0,1,5,2018,0.9990186457311088,1.0,1.7999999999999972,0.4000000000000057,0,0.1251202958697295
97,97,2018-06-01,-2.2062229507051,-2.454646138738001,-1.917121344368496,-1.713107992246924,0.0005064432268918,0.0006816832086628,0.0004153233555984,0.000179590109674,-1.0657283814778444,-1.0137359373949255,-1.0349844267389774,-1.4216953376924175,-3.6215103563617568,-1.713107992246924,-1.713107992246924,-2.454646138738001,0,1,0,0,0,0,0,1,0,0,0,1,6,2018,1.0,0.9990039840637448,1.7999999999999972,0.29999999999999716,2,-2.7137119284361355
98,98,2018-07-01,-0.3350331274756307,-0.4400775618198929,-0.3740870946223091,-0.3691484895513529,0.0005050738604022,0.0006779236936565,0.0004138364498624,0.0001869643536229,-0.2385560928517089,-0.2462543965777903,-0.2827420470130273,-0.4170425180086429,-0.7375025028365623,-0.3350331274756307,-0.3691484895513529,-0.3350331274756307,1,0,0,0,1,0,0,0,0,0,0,1,7,2018,0.9980353634577604,0.9990029910269193,1.5999999999999943,0.20000000000000284,0,-4.604464183039281
99,99,2018-08-01,0.5818413095625341,0.6543084649122,0.6139276626305294,0.6300052370120629,0.0004827970898487,0.0006483941943843,0.0003968039289774,0.0001835868287879,0.1725404528477814,0.1773450755277761,0.2064280271953198,0.3153499339120925,0.8808203059337716,0.6543084649122,0.6300052370120629,0.6300052370120629,0,0,0,1,0,1,0,0,0,0,0,1,8,2018,0.999015748031496,0.997005988023952,1.5,-0.09999999999999432,3,-0.01999857522587689
100,100,2018-09-01,0.17339480942988,0.1718451830925031,0.1778732915477726,0.1745155120391663,0.0004270338110524,0.0005711471098776,0.0003511312899849,0.0001720878922509,-0.0193169159766785,-0.0173514321868767,-0.0189126857267058,-0.0295751168035348,0.146632452427764,0.1778732915477726,0.1745155120391663,0.1718451830925031,0,1,0,0,0,0,1,0,0,0,0,1,9,2018,0.9960591133004926,0.997997997997998,1.0999999999999943,-0.29999999999999716,2,1.0302608351059561
101,101,2018-10-01,-7.13558996278648,-7.428938742661086,-6.352091260288224,-7.046352218266404,0.0004262181863113,0.0005692560565093,0.0003500266057936,0.0001719486313885,-3.563584777973845,-3.2064881803450938,-3.513571773618627,-5.54247453551731,-12.14601843532661,-6.352091260288224,-7.046352218266404,-7.428938742661086,0,1,0,0,0,0,1,0,0,0,0,1,10,2018,0.9980217606330368,0.9969909729187564,0.9000000000000057,-0.5999999999999943,2,-6.667858097677282
102,102,2018-11-01,2.3624304957228524,2.409265248512989,2.1038468269062367,2.168781551117989,0.0005502431154792,0.0006931067771796,0.0004539863611383,0.0003210187903898,0.91236897768264,0.8307095640653273,0.8830844368826805,1.0864090643785322,2.7801977197833505,2.409265248512989,2.168781551117989,2.168781551117989,0,0,0,1,0,1,0,0,0,0,0,1,11,2018,0.998017839444995,0.9979879275653925,0.7000000000000028,-0.7999999999999972,3,-3.257220564969443
103,103,2018-12-01,-2.896178754631167,-2.991971045371494,-2.4727091161988515,-2.487097823632609,0.0005507331860659,0.0006922407957153,0.0004563963953826,0.0003300813559246,-1.326396033845311,-1.219491510559923,-1.25882253908246,-1.4881358200077683,-3.453104846139676,-2.4727091161988515,-2.487097823632609,-2.991971045371494,0,1,0,0,0,0,1,0,0,0,0,1,12,2018,0.9980139026812314,0.9969758064516128,0.5,-1.0999999999999943,2,-0.633803299683322
104,104,2019-01-01,7.698543273618066,7.731808684196819,6.565467210456787,6.758828796443098,0.0005759463336112,0.0007192096444508,0.0004768736190977,0.000351303536528,3.120348342376759,2.804731492056481,2.910328404095903,3.493965832433745,9.12665088938085,7.731808684196819,6.758828796443098,6.758828796443098,0,0,0,1,0,1,0,0,0,0,0,1,1,2019,1.0019900497512435,0.998988877654196,0.7000000000000028,-1.2000000000000028,3,1.5387999661163443
105,105,2019-02-01,-0.6194364345094864,-0.546525973430226,-0.3926820999881066,-0.4131337359304867,0.0006880231669233,0.0008256635819461,0.0005617782286586,0.0004618132781609,-0.3159252867002463,-0.2630187991021671,-0.2539563741595997,-0.2896138241861549,-0.731050404001532,-0.3926820999881066,-0.4131337359304867,-0.3926820999881066,0,0,1,0,0,0,1,0,0,0,0,1,2,2019,0.994041708043694,0.9989878542510122,0.09999999999999432,-1.2999999999999972,1,5.148218442201369
106,106,2019-03-01,-2.246036464927772,-2.014249445906388,-1.5615967748675466,-1.6337024533189073,0.0006926707455459,0.0008302556508567,0.0005648210522233,0.0004639151781635,-0.9285699166340506,-0.7677068567895275,-0.7403149803923926,-0.8503467875719791,-2.579281183932347,-1.5615967748675466,-1.6337024533189073,-1.5615967748675466,0,0,1,0,0,0,1,0,0,0,0,1,3,2019,1.0,1.0010131712259371,0.09999999999999432,-1.2000000000000028,1,-2.1846144797194156
107,107,2019-04-01,2.74341348446244,2.335448786398417,1.819984217367983,1.9154865701381496,0.0006823648364651,0.0008141070915547,0.0005598631933283,0.0004701137320655,0.9748046369477044,0.7494704067063541,0.6859123149582591,0.7925746898582338,3.0526620370370465,2.74341348446244,1.9154865701381496,2.74341348446244,1,0,0,0,1,0,0,0,0,0,0,1,4,2019,0.998001998001998,1.0,-0.09999999999999432,-1.2000000000000028,0,2.322291401693022
